1438373905686-1194,61,54
Sat Aug 01 2015 19:42:57 GMT+0900 (Korea Standard Time),-597,273,469
Sat Aug 01 2015 19:42:57 GMT+0900 (Korea Standard Time),-612,244,472
Sat Aug 01 2015 19:42:57 GMT+0900 (Korea Standard Time),-609,248,471
Sat Aug 01 2015 19:42:58 GMT+0900 (Korea Standard Time),-615,248,472
Sat Aug 01 2015 19:42:58 GMT+0900 (Korea Standard Time),-614,243,472
Sat Aug 01 2015 19:42:58 GMT+0900 (Korea Standard Time),-614,243,471
Sat Aug 01 2015 19:42:59 GMT+0900 (Korea Standard Time),-613,244,470
Sat Aug 01 2015 19:42:59 GMT+0900 (Korea Standard Time),-614,247,468
Sat Aug 01 2015 19:42:59 GMT+0900 (Korea Standard Time),-614,242,472
Sat Aug 01 2015 19:43:00 GMT+0900 (Korea Standard Time),-620,234,470
Sat Aug 01 2015 19:43:00 GMT+0900 (Korea Standard Time),-624,238,468
Sat Aug 01 2015 19:43:00 GMT+0900 (Korea Standard Time),-625,247,463
Sat Aug 01 2015 19:43:01 GMT+0900 (Korea Standard Time),-627,251,462
Sat Aug 01 2015 19:43:01 GMT+0900 (Korea Standard Time),-633,248,465
Sat Aug 01 2015 19:43:01 GMT+0900 (Korea Standard Time),-625,245,466
Sat Aug 01 2015 19:43:02 GMT+0900 (Korea Standard Time),-623,239,470
Sat Aug 01 2015 19:43:02 GMT+0900 (Korea Standard Time),-623,237,471
Sat Aug 01 2015 19:43:02 GMT+0900 (Korea Standard Time),-624,232,473
Sat Aug 01 2015 19:43:03 GMT+0900 (Korea Standard Time),-622,237,468
Sat Aug 01 2015 19:43:03 GMT+0900 (Korea Standard Time),-625,239,467
Sat Aug 01 2015 19:43:04 GMT+0900 (Korea Standard Time),-625,237,465
Sat Aug 01 2015 19:43:04 GMT+0900 (Korea Standard Time),-628,235,467
Sat Aug 01 2015 19:43:04 GMT+0900 (Korea Standard Time),-630,227,468
Sat Aug 01 2015 19:43:05 GMT+0900 (Korea Standard Time),-633,223,470
